How often do you travel by plane?,"In general, is it rude to knowingly bring unruly children on a plane?",COUNTA of RespondentID
Once a year or less,"Yes, somewhat rude",254
,"Yes, very rude",252
,"No, not at all rude",108
Once a year or less Total,,614
Once a month or less,"Yes, somewhat rude",86
,"Yes, very rude",83
,"No, not at all rude",32
Once a month or less Total,,201
A few times per month,"Yes, very rude",14
,"Yes, somewhat rude",9
,"No, not at all rude",6
A few times per month Total,,29
Grand Total,,844
